,name,Show,principal component 1,principal component 2,principal component 3
0,Leroy Jethro Gibbs,NCIS,-7.439053567561766,-10.736470242685463,-0.8491884112773961
1,Anthony DiNozzo ,NCIS,3.306043861191586,4.2732671960447215,-7.598596639370577
2,Abby Sciuto,NCIS,-4.351082110278001,4.710739222709734,-12.866520003490736
3,Donald Mallard,NCIS,-14.509526002935564,-0.9971938942350944,-0.7431769957508573
4,Timothy McGee,NCIS,-11.939270027369899,2.0177296868701617,6.872772365327158
5,Jimmy Palmer,NCIS,-11.747919391990536,5.790577340361082,5.689956604432846
6,Rick Grimes,The Walking Dead,-5.552700209922392,-5.719994065819182,-1.9726267636804955
7,Shane Walsh,The Walking Dead,14.743744621152914,-5.309010879216659,1.5686414423726434
8,Lori Grimes,The Walking Dead,3.305790496620086,3.249677155238662,8.602653486334452
9,Andrea,The Walking Dead,4.267995764830205,0.04165706726179357,2.680044010965077
10,Dale Horvath,The Walking Dead,-6.970554418374323,3.1151293261945097,5.324576827996649
11,Glenn Rhee,The Walking Dead,-12.146811413412147,3.77281897538577,-3.697911679907372
12,Carl Grimes,The Walking Dead,-2.3863597162945376,2.016193045628311,-0.10829766426317057
13,Daryl Dixon,The Walking Dead,-0.00555380268827004,-4.6327178154329145,-6.896273773711175
14,Carol Peletier,The Walking Dead,-3.20499720378411,-5.636220670225785,-3.0089998518497323
15,Merle Dixon,The Walking Dead,17.604616051712693,-3.9805462931145548,0.5304885568634309
16,Walter White,Breaking Bad,3.477711476585196,-10.513895335868856,-2.2580153249870167
17,Skyler White,Breaking Bad,1.4530359800799655,-4.260828397844153,7.311009274840495
18,Jesse Pinkman,Breaking Bad,7.692228419744191,7.4351939476177575,-2.9365949490014374
19,Hank Schrader,Breaking Bad,0.1400457791404449,-5.265800085700522,3.4279912111666246
20,Marie Schrader,Breaking Bad,5.3594136037023485,2.0077163520060606,8.46445229646257
21,Flynn White,Breaking Bad,-3.5227061828813038,7.40577871473175,6.561525084657292
22,Jimmy McGill,Breaking Bad,7.285406269967557,2.7254652143439566,-2.9948256028390343
23,Gus Fring,Breaking Bad,-0.9615654452657167,-14.455382427444713,-0.2672146527583654
24,Mike Ehrmantraut,Breaking Bad,-2.283143776926387,-11.001125851812795,0.0054178609017151895
25,Jane Margolis,Breaking Bad,9.423708922289364,3.8216536253647195,-4.875337408843946
26,Dorothy Gale,The Wizard of Oz,-8.084874452450364,9.171567848963873,0.9028728054594582
27,The Wizard of Oz,The Wizard of Oz,6.816448975985616,-0.22978345868397784,5.753557959478647
28,The Scarecrow,The Wizard of Oz,-2.088396593859869,12.445739892928668,3.8144951881899525
29,The Tin Man,The Wizard of Oz,-4.583341789485398,5.998732409209163,5.857597318837096
30,The Cowardly Lion,The Wizard of Oz,0.8853170554398105,9.923732396980714,8.678502045164208
31,The Wicked Witch of the West,The Wizard of Oz,13.80510949935378,-6.258482504630199,1.7576190089533463
32,Jack Pearson,This Is Us,-8.421872630248803,4.644419081220964,-8.09988006348775
33,Rebecca Pearson,This Is Us,-9.112073927030846,4.790034848597678,-1.474376380692151
34,Randall Pearson,This Is Us,-10.450951354401873,-4.3535175069531205,2.9968386243702447
35,Kate Pearson,This Is Us,-2.096752676559652,4.8549462007177455,3.2889799298541504
36,Kevin Pearson,This Is Us,5.579686939300834,7.553798246757405,-4.636358400078845
37,Beth Pearson,This Is Us,-10.0410444032895,-2.413321356727854,-7.26093797957195
38,Toby Damon,This Is Us,-3.1546417007165606,9.50174036042945,-2.7624421109317674
39,William H. 'Shakespeare' Hill,This Is Us,-6.604843060176922,6.330415840302021,-4.682202678772428
40,Miguel Rivas,This Is Us,-6.450512646734952,3.9971599788391687,7.050998578940372
41,Sophie,This Is Us,-6.32017466283017,1.8370487249290146,0.727570580232951
42,Dr. Alan Grant,Jurassic Park,-6.687779059475721,-4.643576882634023,-1.2983926977646332
43,Dr. Ellie Sattler,Jurassic Park,-10.112921771073387,0.560970715313771,-4.369696375311257
44,Dr. Ian Malcolm,Jurassic Park,2.5153331829079892,0.543206764607462,-7.528671499098476
45,John Hammond,Jurassic Park,-2.285936951364081,2.5427062388887705,-3.062787352239
46,Ray Arnold,Jurassic Park,-3.752949726938931,-6.568023611407139,1.5645187684532982
47,Dennis Nedry,Jurassic Park,16.392317307271792,3.0998275868761733,9.552338218449064
48,Simba,The Lion King,-2.007124831895275,10.4008058765181,-5.980502512328876
49,Nala,The Lion King,-9.774996642016424,-0.7882273540241401,-5.792975711340368
50,Timon,The Lion King,3.737047400745542,9.30839531190206,-2.9815512834669184
51,Pumbaa,The Lion King,0.6489673806080363,17.25104182953581,-4.378060608800183
52,Scar,The Lion King,14.122417524558033,-10.075315804228728,1.570979038289311
53,Mufasa,The Lion King,-13.554960228415062,-4.242748063402759,-1.770689635127578
54,Josiah Bartlet,The West Wing,-12.679296828743828,-2.4276275866047285,-4.996545558291735
55,Leo McGarry,The West Wing,-8.577781360030027,-8.714261167532747,0.48640244025655577
56,Josh Lyman,The West Wing,1.7244063755723114,-0.7718941208854924,-3.5504036184342356
57,Toby Ziegler,The West Wing,-2.041001047398565,-9.318119319750558,3.71861301022467
58,Sam Seaborn,The West Wing,-6.881977814943583,1.3924448718315088,-4.5007380461065765
59,C. J. Cregg,The West Wing,-9.05019122485342,-3.0694188601983217,-6.798404955868764
60,Charlie Young,The West Wing,-14.847810299459951,-0.37190146121074674,-2.612858884861548
61,Donna Moss,The West Wing,-7.934014897568015,6.8892370228287145,-2.079693917053398
62,Abbey Bartlet,The West Wing,-7.277166570112357,-4.761179676344975,-5.007953421931754
63,Joey Lucas,The West Wing,-8.549195616974743,-3.796975391575751,-6.316013060262698
64,Eric Taylor,Friday Night Lights,-11.039272570677326,-4.1807476445777665,-2.7891388056738604
65,Tami Taylor,Friday Night Lights,-12.476070763239917,1.5471236264673494,-4.838059828568943
66,Smash Williams,Friday Night Lights,4.425322613722957,0.09187910179471381,-5.751368090186703
67,Matt Saracen,Friday Night Lights,-9.990739099043312,4.427250896576199,6.39796948083508
68,Lyla Garrity,Friday Night Lights,-4.12546400361639,3.2250209363403783,1.111210971059287
69,Tim Riggins,Friday Night Lights,8.280116746089769,2.4057461949394123,-6.8144454091418005
70,Tyra Collette,Friday Night Lights,7.549546920419779,0.7860419375185856,-7.576482971893063
71,Landry Clarke ,Friday Night Lights,-4.918809635318706,6.620707477273623,6.791458831709751
72,Jason Street,Friday Night Lights,-5.661086968093535,0.09161753271635258,3.0340079119187764
73,Julie Taylor ,Friday Night Lights,-0.8199777099645008,4.319938515636512,3.3724273400632945
74,Johnny Rose,Schitt's Creek,-6.184209735028622,-2.3181518129165597,4.883718203213144
75,Moira Rose,Schitt's Creek,8.53584326138086,0.13296298701700335,-5.0958588907588895
76,David Rose,Schitt's Creek,4.280668940206756,2.397766233601334,-3.6792108732761735
77,Alexis Rose,Schitt's Creek,6.176658739669677,8.071402749806452,-7.376895272156028
78,Stevie Budd,Schitt's Creek,1.3680296274661345,-0.16109756851367948,0.9609513870346928
79,Ted Mullens,Schitt's Creek,-13.842723829154645,6.396849658712487,4.48721754195429
80,Jo March,Little Women,0.7630170578557168,0.9534170237861924,-11.590498116489716
81,Meg March,Little Women,-12.38047827965972,3.683292270908405,5.5101326980022876
82,Amy March,Little Women,-0.08467549710474129,1.0187053186915067,-2.3130198536316557
83,Beth March,Little Women,-12.335798878445365,9.333150637975601,4.934412322569194
84,Marmee March,Little Women,-13.67407696651222,1.7998187870286795,-1.1289967710007631
85,Theodore Laurence,Little Women,0.3224113486282365,7.926487407140861,-4.713844167045127
86,Olivia Pope,Scandal,-1.9450444983381334,-10.673068132091009,-7.308663997769702
87,Abby Whelan,Scandal,-3.305703582980082,-3.1815400956397695,0.8936011966506113
88,Quinn Perkins,Scandal,3.1605616069914224,-1.1247134209612928,-0.11198753508596244
89,Huck,Scandal,2.489988651114927,-6.186243564975031,1.2152200165735607
90,Cyrus Beene,Scandal,9.951106378725775,-6.961802811027715,4.92651551808033
91,David Rosen,Scandal,-7.03898557883066,-1.5235843682059897,7.8866886403189564
92,Mellie Grant,Scandal,0.9913553359476202,-6.0154409810303,0.8862121737493772
93,Fitzgerald Grant,Scandal,0.7734465508600189,-0.7593132007010852,4.217903960238886
94,Jake Ballard,Scandal,1.3160032278050526,-6.435559975056793,-4.088414727139164
95,Rowan Pope,Scandal,6.494069440620243,-13.57708619016318,-0.8031290392162449
96,Robin Hood,Robin Hood,-1.8753140685590297,5.084213197159305,-14.587470167799315
97,Maid Marian,Robin Hood,-12.323877679240454,6.198523428620228,-2.395608560985754
98,Little John,Robin Hood,-3.861379365594734,10.722221211507582,-1.9076295635575584
99,Friar Tuck,Robin Hood,-9.214493364807666,8.130032363010516,3.7716862109785185
100,Prince John,Robin Hood,16.73660629771605,0.8886562937789725,8.181244376937968
101,Sheriff of Nottingham,Robin Hood,14.532368214592282,-1.205084349627052,7.909184783996035
102,Romeo Montague,Romeo and Juliet,6.229298597982601,7.2948919829484975,-2.9013298330095227
103,Juliet Capulet,Romeo and Juliet,1.2789340035216306,8.54792223521967,1.158012159805428
104,Friar Laurence,Romeo and Juliet,-5.14995541416132,1.6900072827180015,3.930577713780032
105,Mercutio,Romeo and Juliet,7.99285854222023,3.841555634846317,-5.784023040723331
106,The Nurse,Romeo and Juliet,-2.8341469507860535,1.9417100522569404,4.6655374941445285
107,Benvolio,Romeo and Juliet,-0.12734834139425297,1.699401493300591,3.462375246543706
108,Dexter Morgan,Dexter,-1.8075064599905404,-10.56376106138617,-2.206631211587449
109,Rita Bennett,Dexter,-9.529941388267968,9.637686217017691,6.141949710853011
110,Debra Morgan,Dexter,2.3291930102394183,0.2019737681612587,-2.647125337568461
111,James Doakes,Dexter,4.490128616601605,-11.617115225963639,1.5427107570466538
112,Maria LaGuerta,Dexter,-1.6725379683879342,-7.035867700394218,1.2479326797493198
113,Angel Batista,Dexter,-3.862706773074928,6.728419230346357,-3.3988416822352816
114,Harry Morgan,Dexter,-3.417482632029932,-6.587624408448917,1.784477124649702
115,Vince Masuka,Dexter,1.7713582528293055,5.387603389565754,-0.04532182237228786
116,Thomas Matthews,Dexter,1.3169013520730384,-10.934752016767158,8.157761255922267
117,Joey Quinn,Dexter,7.756964692416383,0.35677253702525064,-0.4632544466792125
118,Eleanor Shellstrop,The Good Place,9.487383082714672,4.823662613260992,-8.611875098565822
119,Chidi Anagonye,The Good Place,-11.894574768827898,-0.5572231026563121,10.575423993733624
120,Tahani Al-Jamil,The Good Place,-1.390895482705775,-1.0152491506060688,-1.4959071954600005
121,Janet,The Good Place,-12.099869890759033,-0.12491694420360645,-2.6053114530048176
122,Jason Mendoza,The Good Place,6.749947970533863,17.826754889521375,-4.871748754723336
123,Michael,The Good Place,-0.010788503667056124,1.3250097813207162,-2.3205082021073706
124,Dr. Gregory House,"House, M.D.",10.040415215258388,-7.0076085576810705,-6.336382371539272
125,Dr. Lisa Cuddy,"House, M.D.",-7.576784130430611,-6.234583223013107,1.5011559382764348
126,Dr. James Wilson,"House, M.D.",-12.029338285394727,2.4161703512119987,6.888623454488777
127,Dr. Eric Foreman,"House, M.D.",-4.700152695882708,-7.753669810499322,4.418607342901637
128,Dr. Robert Chase,"House, M.D.",-1.3731034832496856,2.9497707071753556,0.611873860114108
129,Dr. Allison Cameron,"House, M.D.",-7.365460862896238,0.12874964365739305,3.8333818931206336
130,Sayid Jarrah,LOST,-4.7464500288503215,-7.552796812943764,-3.641713438954164
131,Claire Littleton,LOST,-0.32324597376066644,8.609293037581086,1.8550378164103372
132,Jack Shephard,LOST,-7.0728828213299595,-5.647818415174835,0.9627593322747401
133,Hugo 'Hurley' Reyes,LOST,-4.637733397405497,14.503206893946562,0.786519877931157
134,Shannon Rutherford,LOST,9.514189458481896,4.629189276211987,4.784631942737221
135,James 'Sawyer' Ford,LOST,10.636953798172499,-1.0253314755711864,-9.104770742767691
136,Benjamin Linus,LOST,7.575630842393678,-7.728448869009832,3.0595226204509354
137,Jin-Soo Kwon,LOST,-5.430112225756531,-7.714961490549404,4.03852663270256
138,Michael Dawson,LOST,3.544960921903939,0.21466695784520848,4.631772479122102
139,Desmond Hume,LOST,-2.9117986290513187,-1.2630257736097523,-2.906973026153097
140,Sun-Hwa Kwon,LOST,-10.02109046648608,-1.2741293771412856,2.507681201509486
